Differentially methylated site	Methylation status in ES cells
20751801	methylated
20751794	methylated
50114014	methylated
50114016	methylated
50114021	methylated
8152459	methylated
34131698	methylated
34132232	methylated
13048104	methylated
61167911	methylated
25281058	methylated
60927903	methylated
13144978	methylated
51941951	methylated
12992507	methylated
14527934	methylated
14527946	methylated
14527950	methylated
5577549	methylated
7681035	methylated
7680890	methylated
18099639	methylated
34131724	methylated
42346473	methylated
42346274	methylated
42346287	methylated
42346291	methylated
48228452	methylated
9480827	methylated
27493950	methylated
12989039	methylated
34133130	methylated
34133014	methylated
26122256	methylated
59224044	methylated
29083496	methylated
29083311	methylated
29083317	methylated
50401157	methylated
50401161	methylated
50401169	methylated
50401178	unmethylated
9775099	methylated
29049346	methylated
42721454	methylated
21932940	unmethylated
7875855	methylated
29692499	methylated
9807727	methylated
8244132	methylated
8244146	methylated
52986609	methylated
13269966	methylated
13269816	methylated
13269818	methylated
13269822	methylated
13269824	methylated
13269826	methylated
39523861	methylated
39523854	methylated
39523838	methylated
39523752	methylated
13612206	methylated
13612204	methylated
13612200	methylated
13612187	methylated
13612177	methylated
9822398	methylated
9822246	methylated
9822253	methylated
24290871	methylated
24290893	methylated
24290899	methylated
24290903	methylated
55763699	methylated
25962681	methylated
25962688	methylated
25962697	methylated
45190050	methylated
8155489	methylated
8155472	methylated
27496098	methylated
27496106	methylated
38379395	methylated
54309064	methylated
7740715	methylated
9478896	methylated
19153631	methylated
19153368	methylated
38379569	methylated
38379564	methylated
38379415	methylated
9530429	methylated
3606348	methylated
7816554	methylated
39747462	methylated
39747484	methylated
44427360	methylated
9157911	methylated
36071200	methylated
9831012	methylated
58084912	methylated
58084916	methylated
50108199	methylated
50108196	methylated
3083674	methylated
3083691	methylated
13947825	methylated
35389003	methylated
7740851	methylated
7740684	methylated
45203000	methylated
13266910	methylated
9748320	methylated
9507369	methylated
9507350	methylated
9507242	methylated
20335660	methylated
31856120	methylated
9493326	methylated
38380764	methylated
9729516	methylated
42464569	methylated
42464426	methylated
26084180	methylated
8152815	methylated
5757794	methylated
13139090	methylated
9502569	methylated
3247155	methylated
3247152	methylated
60932631	methylated
60932635	methylated
60932643	methylated
60932653	methylated
12987290	methylated
3228210	methylated
3228208	methylated
3227993	methylated
41387803	methylated
29003695	methylated
12992151	methylated
12992139	methylated
12992137	methylated
12992128	methylated
39126804	methylated
60928241	methylated
60928235	methylated
29086225	methylated
33406602	methylated
52990740	methylated
52990731	methylated
59224372	methylated
38375859	methylated
18924102	methylated
39965491	methylated
1887
